Year,Rank,Id,Name,Position,Team,Receptions,Targets,Yards,YPC,Touchdowns,YPG,Fumbles
2003,125,1175,Warrick Dunn,RB,ATL,37,0,336,9.1,2,30.5,1
2003,126,3595,Matt Schobel,TE,CIN,24,0,332,13.8,2,22.1,2
2003,126,3619,Brian Westbrook,RB,PHI,37,0,332,9.0,4,22.1,0
2003,128,2697,Scotty Anderson,WR,DET,17,0,325,19.1,2,36.1,0
2003,129,4519,L.J. Smith,TE,PHI,27,0,321,11.9,1,21.4,1
2003,130,3579,Clinton Portis,RB,DEN,38,0,314,8.3,0,24.2,0
2003,131,1848,Amos Zereoue,RB,PIT,40,0,310,7.8,0,19.4,0
2003,132,3574,Tim Carter,WR,NYG,26,0,309,11.9,0,25.8,0
2003,133,2628,Kevan Barlow,RB,SF,35,0,307,8.8,1,19.2,1
2003,134,2469,Jamel White,RB,CLE,46,0,303,6.6,1,18.9,0
2003,135,4523,Kelley Washington,WR,CIN,22,0,299,13.6,4,18.7,0
2003,136,4518,Tyrone Calico,WR,TEN,18,0,297,16.5,4,21.2,0
2003,137,2150,Shaun Alexander,RB,SEA,42,0,295,7.0,2,18.4,0
2003,138,1311,Chad Lewis,TE,PHI,23,0,293,12.7,1,18.3,0
2003,139,1755,Edgerrin James,RB,IND,51,0,292,5.7,0,22.5,0
2003,140,548,Marshall Faulk,RB,STL,45,0,290,6.4,1,26.4,0
2003,140,926,Ernie Conwell,TE,NO,26,0,290,11.2,2,29.0,1
2003,142,796,Wayne Chrebet,WR,NYJ,27,0,289,10.7,1,41.3,0
2003,143,728,James McKnight,WR,MIA,23,0,285,12.4,2,19.0,1
2003,143,747,Christian Fauria,TE,NE,28,0,285,10.2,2,17.8,0
2003,145,745,Kyle Brady,TE,JAX,29,0,281,9.7,1,17.6,2
2003,146,5437,Kassim Osgood,WR,SD,13,0,278,21.4,2,17.4,0
2003,147,775,Curtis Martin,RB,NYJ,42,0,262,6.2,0,16.4,0
2003,148,1784,Kevin Johnson,WR,CLE/JAX,17,0,253,14.9,1,42.2,0
2003,149,3583,Doug Jolley,TE,OAK,31,0,250,8.1,1,16.7,0
2003,150,839,Cory Schlesinger,RB,DET,34,0,247,7.3,2,15.4,0
2003,151,744,Ken Dilger,TE,TB,22,0,244,11.1,1,16.3,1
2003,151,4355,Eric Parker,WR,SD,18,0,244,13.6,3,30.5,0
2003,153,4460,Charles Rogers,WR,DET,22,0,243,11.0,3,48.6,0
